sample_id,time,Valuetype,Source,Value
2347,"2017-09-25 12:37:09.735726",std_d18O,CoWSstd2,0.197061736390584
2347,"2017-09-25 12:37:09.735726",cows_readytime,CoWSstd2,1200.0
2347,"2017-09-25 12:37:09.735726",cows_switchtime,CoWSstd2,1020.0
2347,"2017-09-25 12:37:09.735726",mean_H2O,CoWSstd2,19569.3006080185
2347,"2017-09-25 12:37:09.735726",std_H2O,CoWSstd2,295.509420093222
2347,"2017-09-25 12:37:09.735726",mean_d18O,CoWSstd2,-40.1196793970544
2347,"2017-09-25 12:37:09.735726",mean_d2H,CoWSstd2,-200.685785877102
2347,"2017-09-25 12:37:09.735726",std_d2H,CoWSstd2,0.549728666138974
2348,"2017-09-25 13:00:27.730911",flushspeed,str#176,3.40913546052934
2348,"2017-09-25 13:00:27.730911",samplevol,str#176,75.2055282592773
2348,"2017-09-25 13:00:27.730911",sourceid,str#176,2.0
2348,"2017-09-25 13:00:27.730911",std_d18O,str#176,0.178882268358026
2348,"2017-09-25 13:00:27.730911",cows_readytime,str#176,1200.0
2348,"2017-09-25 13:00:27.730911",cows_switchtime,str#176,1020.0
2348,"2017-09-25 13:00:27.730911",mean_H2O,str#176,19459.7713746651
2348,"2017-09-25 13:00:27.730911",std_H2O,str#176,68.7075094214714
2348,"2017-09-25 13:00:27.730911",mean_d18O,str#176,-29.6009112628213
2348,"2017-09-25 13:00:27.730911",mean_d2H,str#176,-120.193102666562
2348,"2017-09-25 13:00:27.730911",std_d2H,str#176,0.407635970442535
2349,"2017-09-25 13:23:31.944450",flushspeed,str#226,1.69473541619164
2349,"2017-09-25 13:23:31.944450",samplevol,str#226,66.1963653564453
2349,"2017-09-25 13:23:31.944450",sourceid,str#226,3.0
2350,"2017-09-25 13:43:01.993186",flushspeed,gw#195,1.81441082797107
2350,"2017-09-25 13:43:01.993186",samplevol,gw#195,75.187370300293
2349,"2017-09-25 13:23:31.944450",std_d18O,str#226,0.17603405844269
2349,"2017-09-25 13:23:31.944450",cows_readytime,str#226,1200.0
2349,"2017-09-25 13:23:31.944450",cows_switchtime,str#226,1020.0
2349,"2017-09-25 13:23:31.944450",mean_H2O,str#226,19201.4431356089
2349,"2017-09-25 13:23:31.944450",std_H2O,str#226,9.9002906837489
2349,"2017-09-25 13:23:31.944450",mean_d18O,str#226,-29.4555490614927
2349,"2017-09-25 13:23:31.944450",mean_d2H,str#226,-119.283576561052
2349,"2017-09-25 13:23:31.944450",std_d2H,str#226,0.323362291895264
2350,"2017-09-25 13:43:01.993186",sourceid,gw#195,4.0
2350,"2017-09-25 13:43:01.993186",std_d18O,gw#195,0.194567587161097
2350,"2017-09-25 13:43:01.993186",cows_readytime,gw#195,1200.0
2350,"2017-09-25 13:43:01.993186",cows_switchtime,gw#195,1020.0
2350,"2017-09-25 13:43:01.993186",mean_H2O,gw#195,19533.4110367834
2350,"2017-09-25 13:43:01.993186",std_H2O,gw#195,50.2189146850098
2350,"2017-09-25 13:43:01.993186",mean_d18O,gw#195,-29.2700217807792
2350,"2017-09-25 13:43:01.993186",mean_d2H,gw#195,-118.373056910316
2350,"2017-09-25 13:43:01.993186",std_d2H,gw#195,0.401090331174212
2352,"2017-09-25 14:02:31.435148",std_d18O,CoWSstd1,0.194203730120855
2352,"2017-09-25 14:02:31.435148",cows_readytime,CoWSstd1,1200.0
2352,"2017-09-25 14:02:31.435148",cows_switchtime,CoWSstd1,1020.0
2352,"2017-09-25 14:02:31.435148",mean_H2O,CoWSstd1,19438.4539786409
2352,"2017-09-25 14:02:31.435148",std_H2O,CoWSstd1,24.5126143249027
2352,"2017-09-25 14:02:31.435148",mean_d18O,CoWSstd1,-19.3954796508576
2352,"2017-09-25 14:02:31.435148",mean_d2H,CoWSstd1,-72.2813366945489
2352,"2017-09-25 14:02:31.435148",std_d2H,CoWSstd1,0.369153252581858
2353,"2017-09-25 14:25:34.069170",flushspeed,str#176,3.85871396447424
2353,"2017-09-25 14:25:34.069170",samplevol,str#176,68.3262481689453
2353,"2017-09-25 14:25:34.069170",sourceid,str#176,2.0
2353,"2017-09-25 14:25:34.069170",std_d18O,str#176,0.18503973592331
2353,"2017-09-25 14:25:34.069170",cows_readytime,str#176,1200.0
2353,"2017-09-25 14:25:34.069170",cows_switchtime,str#176,1020.0
2353,"2017-09-25 14:25:34.069170",mean_H2O,str#176,19356.4944429823
2353,"2017-09-25 14:25:34.069170",std_H2O,str#176,22.6587226596688
2353,"2017-09-25 14:25:34.069170",mean_d18O,str#176,-29.4111183876283
2353,"2017-09-25 14:25:34.069170",mean_d2H,str#176,-119.19177196783
2353,"2017-09-25 14:25:34.069170",std_d2H,str#176,0.399872613904545
2354,"2017-09-25 14:47:29.834720",flushspeed,gw#233,2.45196350331301
2354,"2017-09-25 14:47:29.834720",samplevol,gw#233,66.6149444580078
2354,"2017-09-25 14:47:29.834720",sourceid,gw#233,8.0
2356,"2017-09-25 15:04:45.153121",flushspeed,str#226,1.86131202855898
2356,"2017-09-25 15:04:45.153121",samplevol,str#226,63.8448638916016
2356,"2017-09-25 15:04:45.153121",sourceid,str#226,3.0
2357,"2017-09-25 15:24:07.734052",flushspeed,gw#125,2.13818563428878
2357,"2017-09-25 15:24:07.734052",samplevol,gw#125,62.0052452087402
2356,"2017-09-25 15:04:45.153121",cows_switchtime,str#226,1020.0
2356,"2017-09-25 15:04:45.153121",std_d18O,str#226,0.160687672042394
2356,"2017-09-25 15:04:45.153121",std_d2H,str#226,0.35099194361535
2356,"2017-09-25 15:04:45.153121",std_H2O,str#226,9.92858344057892
2356,"2017-09-25 15:04:45.153121",mean_H2O,str#226,19168.5074415063
2356,"2017-09-25 15:04:45.153121",cows_readytime,str#226,1200.0
2356,"2017-09-25 15:04:45.153121",mean_d18O,str#226,-29.6676233123179
2356,"2017-09-25 15:04:45.153121",mean_d2H,str#226,-119.554508038559
2357,"2017-09-25 15:24:07.734052",sourceid,gw#125,7.0
2357,"2017-09-25 15:24:07.734052",cows_switchtime,gw#125,1020.0
2357,"2017-09-25 15:24:07.734052",std_d18O,gw#125,0.203146262412155
2357,"2017-09-25 15:24:07.734052",std_d2H,gw#125,0.372424817443638
2357,"2017-09-25 15:24:07.734052",std_H2O,gw#125,65.1947086161399
2357,"2017-09-25 15:24:07.734052",mean_H2O,gw#125,19381.6618014245
2357,"2017-09-25 15:24:07.734052",cows_readytime,gw#125,1200.0
2357,"2017-09-25 15:24:07.734052",mean_d18O,gw#125,-29.1396198204225
2357,"2017-09-25 15:24:07.734052",mean_d2H,gw#125,-117.085332202702
2358,"2017-09-25 15:41:09.892927",cows_switchtime,CoWSstd2,1020.0
2358,"2017-09-25 15:41:09.892927",std_d18O,CoWSstd2,0.174563392655505
2358,"2017-09-25 15:41:09.892927",std_d2H,CoWSstd2,0.423335440199337
2358,"2017-09-25 15:41:09.892927",std_H2O,CoWSstd2,31.8656155521792
2358,"2017-09-25 15:41:09.892927",mean_H2O,CoWSstd2,19336.7218952033
2358,"2017-09-25 15:41:09.892927",cows_readytime,CoWSstd2,1200.0
2358,"2017-09-25 15:41:09.892927",mean_d18O,CoWSstd2,-40.5410441949675
2358,"2017-09-25 15:41:09.892927",mean_d2H,CoWSstd2,-202.239141005019
2359,"2017-09-25 16:02:49.103969",flushspeed,str#176,3.76975222157266
2359,"2017-09-25 16:02:49.103969",samplevol,str#176,71.3727188110352
2359,"2017-09-25 16:02:49.103969",sourceid,str#176,2.0
2359,"2017-09-25 16:02:49.103969",cows_switchtime,str#176,1020.0
2359,"2017-09-25 16:02:49.103969",std_d18O,str#176,0.213923164648643
2359,"2017-09-25 16:02:49.103969",std_d2H,str#176,0.378004528893881
2359,"2017-09-25 16:02:49.103969",std_H2O,str#176,23.8928149060632
2359,"2017-09-25 16:02:49.103969",mean_H2O,str#176,19327.7330477438
2359,"2017-09-25 16:02:49.103969",cows_readytime,str#176,1200.0
2359,"2017-09-25 16:02:49.103969",mean_d18O,str#176,-29.6784679146538
2359,"2017-09-25 16:02:49.103969",mean_d2H,str#176,-120.796138178324
2361,"2017-09-25 16:27:52.920952",flushspeed,str#226,1.88393703554561
2361,"2017-09-25 16:27:52.920952",samplevol,str#226,67.9102783203125
2361,"2017-09-25 16:27:52.920952",sourceid,str#226,3.0
2362,"2017-09-25 16:47:25.638931",flushspeed,gw#195,1.78804553531088
2362,"2017-09-25 16:47:25.638931",samplevol,gw#195,64.1854705810547
2361,"2017-09-25 16:27:52.920952",cows_switchtime,str#226,1020.0
2361,"2017-09-25 16:27:52.920952",std_d18O,str#226,0.198859527058807
2361,"2017-09-25 16:27:52.920952",std_d2H,str#226,0.377265872440983
2361,"2017-09-25 16:27:52.920952",std_H2O,str#226,12.8420489327125
2361,"2017-09-25 16:27:52.920952",mean_H2O,str#226,19306.0992915748
2361,"2017-09-25 16:27:52.920952",cows_readytime,str#226,1200.0
2361,"2017-09-25 16:27:52.920952",mean_d18O,str#226,-29.5852607506998
2361,"2017-09-25 16:27:52.920952",mean_d2H,str#226,-120.287986382346
2362,"2017-09-25 16:47:25.638931",sourceid,gw#195,4.0
2362,"2017-09-25 16:47:25.638931",cows_switchtime,gw#195,1020.0
2362,"2017-09-25 16:47:25.638931",std_d18O,gw#195,0.20015694511858
2362,"2017-09-25 16:47:25.638931",std_d2H,gw#195,0.36151375084744
2362,"2017-09-25 16:47:25.638931",std_H2O,gw#195,28.3713337833717
2362,"2017-09-25 16:47:25.638931",mean_H2O,gw#195,19397.2842631386
2362,"2017-09-25 16:47:25.638931",cows_readytime,gw#195,1200.0
2362,"2017-09-25 16:47:25.638931",mean_d18O,gw#195,-29.2592387517067
2362,"2017-09-25 16:47:25.638931",mean_d2H,gw#195,-118.471869204588
2363,"2017-09-25 17:04:25.829611",cows_switchtime,CoWSstd1,1020.0
2363,"2017-09-25 17:04:25.829611",std_d18O,CoWSstd1,0.186434790721226
2363,"2017-09-25 17:04:25.829611",std_d2H,CoWSstd1,0.385709234526579
2363,"2017-09-25 17:04:25.829611",std_H2O,CoWSstd1,16.2739141612363
2363,"2017-09-25 17:04:25.829611",mean_H2O,CoWSstd1,19718.4163630458
2363,"2017-09-25 17:04:25.829611",cows_readytime,CoWSstd1,1200.0
2363,"2017-09-25 17:04:25.829611",mean_d18O,CoWSstd1,-19.3215177587078
2363,"2017-09-25 17:04:25.829611",mean_d2H,CoWSstd1,-72.2733469263324
2364,"2017-09-25 17:25:50.527387",flushspeed,str#176,3.71212172373596
2364,"2017-09-25 17:25:50.527387",samplevol,str#176,70.9906158447266
2364,"2017-09-25 17:25:50.527387",sourceid,str#176,2.0
2364,"2017-09-25 17:25:50.527387",cows_switchtime,str#176,1020.0
2364,"2017-09-25 17:25:50.527387",std_d18O,str#176,0.199944926333377
2364,"2017-09-25 17:25:50.527387",std_d2H,str#176,0.329130408680745
2364,"2017-09-25 17:25:50.527387",std_H2O,str#176,15.5940279850235
2364,"2017-09-25 17:25:50.527387",mean_H2O,str#176,19523.6327174776
2364,"2017-09-25 17:25:50.527387",cows_readytime,str#176,1200.0
2364,"2017-09-25 17:25:50.527387",mean_d18O,str#176,-29.3774771111009
2364,"2017-09-25 17:25:50.527387",mean_d2H,str#176,-119.127098378813
2366,"2017-09-25 17:49:41.167056",flushspeed,gw#233,2.27017404238913
2366,"2017-09-25 17:49:41.167056",samplevol,gw#233,68.08251953125
2366,"2017-09-25 17:49:41.167056",sourceid,gw#233,8.0
2366,"2017-09-25 17:49:41.167056",cows_switchtime,gw#233,1020.0
2366,"2017-09-25 17:49:41.167056",std_d18O,gw#233,0.184353100481517
2366,"2017-09-25 17:49:41.167056",std_d2H,gw#233,0.350280055501914
2366,"2017-09-25 17:49:41.167056",std_H2O,gw#233,29.6838273380341
2366,"2017-09-25 17:49:41.167056",mean_H2O,gw#233,19630.7434575888
2366,"2017-09-25 17:49:41.167056",cows_readytime,gw#233,1200.0
2366,"2017-09-25 17:49:41.167056",mean_d18O,gw#233,-29.248978294068
2366,"2017-09-25 17:49:41.167056",mean_d2H,gw#233,-118.6691451507
2367,"2017-09-25 18:11:21.450635",flushspeed,str#226,1.66226387219735
2367,"2017-09-25 18:11:21.450635",samplevol,str#226,56.6715621948242
2367,"2017-09-25 18:11:21.450635",sourceid,str#226,3.0
2368,"2017-09-25 18:30:12.035278",flushspeed,gw#125,2.10125758035355
2368,"2017-09-25 18:30:12.035278",samplevol,gw#125,58.0829620361328
2367,"2017-09-25 18:11:21.450635",cows_switchtime,str#226,1020.0
2367,"2017-09-25 18:11:21.450635",std_d18O,str#226,0.199740597447988
2367,"2017-09-25 18:11:21.450635",std_d2H,str#226,0.334993562623796
2367,"2017-09-25 18:11:21.450635",std_H2O,str#226,28.8185891740608
2367,"2017-09-25 18:11:21.450635",mean_H2O,str#226,19496.6662560127
2367,"2017-09-25 18:11:21.450635",cows_readytime,str#226,1200.0
2367,"2017-09-25 18:11:21.450635",mean_d18O,str#226,-29.4593686380932
2367,"2017-09-25 18:11:21.450635",mean_d2H,str#226,-119.99667431443
2368,"2017-09-25 18:30:12.035278",sourceid,gw#125,7.0
2368,"2017-09-25 18:30:12.035278",cows_switchtime,gw#125,1020.0
2368,"2017-09-25 18:30:12.035278",std_d18O,gw#125,0.199450038235258
2368,"2017-09-25 18:30:12.035278",std_d2H,gw#125,0.370535167336836
2368,"2017-09-25 18:30:12.035278",std_H2O,gw#125,92.2634010424802
2368,"2017-09-25 18:30:12.035278",mean_H2O,gw#125,19801.5755813627
2368,"2017-09-25 18:30:12.035278",cows_readytime,gw#125,1200.0
2368,"2017-09-25 18:30:12.035278",mean_d18O,gw#125,-28.9974225698116
2368,"2017-09-25 18:30:12.035278",mean_d2H,gw#125,-116.857681366543
2369,"2017-09-25 18:47:14.128839",cows_switchtime,CoWSstd2,1020.0
2369,"2017-09-25 18:47:14.128839",std_d18O,CoWSstd2,0.197400484437564
2369,"2017-09-25 18:47:14.128839",std_d2H,CoWSstd2,0.459797644352895
2369,"2017-09-25 18:47:14.128839",std_H2O,CoWSstd2,31.134131272455
2369,"2017-09-25 18:47:14.128839",mean_H2O,CoWSstd2,19728.7135142564
2369,"2017-09-25 18:47:14.128839",cows_readytime,CoWSstd2,1200.0
2369,"2017-09-25 18:47:14.128839",mean_d18O,CoWSstd2,-40.3177838152055
2369,"2017-09-25 18:47:14.128839",mean_d2H,CoWSstd2,-200.74046130149
2371,"2017-09-25 19:09:46.228786",flushspeed,str#176,3.39579334972179
2371,"2017-09-25 19:09:46.228786",samplevol,str#176,71.3863677978516
2371,"2017-09-25 19:09:46.228786",sourceid,str#176,2.0
2371,"2017-09-25 19:09:46.228786",cows_switchtime,str#176,1020.0
2371,"2017-09-25 19:09:46.228786",std_d18O,str#176,0.174729052839763
2371,"2017-09-25 19:09:46.228786",std_d2H,str#176,0.374059382385881
2371,"2017-09-25 19:09:46.228786",std_H2O,str#176,58.6331897666828
2371,"2017-09-25 19:09:46.228786",mean_H2O,str#176,19560.6702807034
2371,"2017-09-25 19:09:46.228786",cows_readytime,str#176,1200.0
2371,"2017-09-25 19:09:46.228786",mean_d18O,str#176,-29.4793592292192
2371,"2017-09-25 19:09:46.228786",mean_d2H,str#176,-120.360241736926
2372,"2017-09-25 19:32:56.392149",flushspeed,str#226,1.82198115122007
2372,"2017-09-25 19:32:56.392149",samplevol,str#226,70.3047866821289
2372,"2017-09-25 19:32:56.392149",sourceid,str#226,3.0
2373,"2017-09-25 19:52:17.338094",flushspeed,gw#195,1.47161794680563
2373,"2017-09-25 19:52:17.338094",samplevol,gw#195,58.8161544799805
2372,"2017-09-25 19:32:56.392149",cows_switchtime,str#226,1020.0
2372,"2017-09-25 19:32:56.392149",std_d18O,str#226,0.156478848841243
2372,"2017-09-25 19:32:56.392149",std_d2H,str#226,0.358203987193132
2372,"2017-09-25 19:32:56.392149",std_H2O,str#226,80.1212564657326
2372,"2017-09-25 19:32:56.392149",mean_H2O,str#226,19585.9678274765
2372,"2017-09-25 19:32:56.392149",cows_readytime,str#226,1200.0
2372,"2017-09-25 19:32:56.392149",mean_d18O,str#226,-29.4857394022024
2372,"2017-09-25 19:32:56.392149",mean_d2H,str#226,-120.17917284996
2373,"2017-09-25 19:52:17.338094",sourceid,gw#195,4.0
2373,"2017-09-25 19:52:17.338094",cows_switchtime,gw#195,1020.0
2373,"2017-09-25 19:52:17.338094",std_d18O,gw#195,0.187246672150661
2373,"2017-09-25 19:52:17.338094",std_d2H,gw#195,0.371703881559467
2373,"2017-09-25 19:52:17.338094",std_H2O,gw#195,22.8521431686467
2373,"2017-09-25 19:52:17.338094",mean_H2O,gw#195,19536.1688637431
2373,"2017-09-25 19:52:17.338094",cows_readytime,gw#195,1200.0
2373,"2017-09-25 19:52:17.338094",mean_d18O,gw#195,-29.2022958742479
2373,"2017-09-25 19:52:17.338094",mean_d2H,gw#195,-118.422947883331
2374,"2017-09-25 20:09:19.524992",cows_switchtime,CoWSstd1,1020.0
2374,"2017-09-25 20:09:19.524992",std_d18O,CoWSstd1,0.195904487630847
2374,"2017-09-25 20:09:19.524992",std_d2H,CoWSstd1,0.366776330621027
2374,"2017-09-25 20:09:19.524992",std_H2O,CoWSstd1,68.3652396053802
2374,"2017-09-25 20:09:19.524992",mean_H2O,CoWSstd1,19563.3330430617
2374,"2017-09-25 20:09:19.524992",cows_readytime,CoWSstd1,1200.0
